token_id,name,birthplace_trait,birthplace_value,ethnicity_trait,ethnicity_value,occupation_trait,occupation_value,special_trait,special_trait_value,merkle_root,proof
11,0x486570706572,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x5374726174656769632047656e697573,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x6138e97ffefefcf39eaed38ee235bf17828cb859936630c7abd1470734cbbd4,0x46b2b348f8651d6d4ed3e2568a845415b315884e55193493dbcc669eafbef8d,0x6927698be9bd06e3776c836d3986ab029fa4f0bbc700e029b86803c3f8cde98,0x35d249af69a968d149503a8181c28df188d8a518cf7b1d8bc7e0fd2438e3aca,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
12,0x496f6e65,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x507269657374657373,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x2a4f1b4e9b8d536c44d8f3a0da364da28f204ca96bdc3aa623af9b823394f1d,0x46b2b348f8651d6d4ed3e2568a845415b315884e55193493dbcc669eafbef8d,0x6927698be9bd06e3776c836d3986ab029fa4f0bbc700e029b86803c3f8cde98,0x35d249af69a968d149503a8181c28df188d8a518cf7b1d8bc7e0fd2438e3aca,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
13,0x43616c6c69737468656e6573656e6f72,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0xf13c7464788ca19774e1a0d16ad93d7e2f564927790a0d474ee3b8267311a7,0x6efc21f0b4f70090f17724e5f05bdd32b4be8c3eb8facbadac1814d8f3ef87a,0x6927698be9bd06e3776c836d3986ab029fa4f0bbc700e029b86803c3f8cde98,0x35d249af69a968d149503a8181c28df188d8a518cf7b1d8bc7e0fd2438e3aca,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
14,0x48697070617375736f73,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x526562656c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x2907f4baec0cd8b0b6b25a4cd5c4b1f38e70678faa07079657dabbe87bdef2f,0x6efc21f0b4f70090f17724e5f05bdd32b4be8c3eb8facbadac1814d8f3ef87a,0x6927698be9bd06e3776c836d3986ab029fa4f0bbc700e029b86803c3f8cde98,0x35d249af69a968d149503a8181c28df188d8a518cf7b1d8bc7e0fd2438e3aca,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
15,0x5468756379646964657369636c6573,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x3001d950b82d86d0124439023e58b1a46f5a5833244028227dba009682491c6,0x48763eacd9f0f9d6b611e75e56afa1222243d6ff56684d504102bb6bba95c7f,0x7f0238aad1e3d8e299413748f6d595e5a8bf2f589f58ffbadf88dd3a1013817,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
16,0x457572796d65646f6e69646573,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x41646d6972616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x133cee743a5d447ff8a722c73ab1712e57f3fd08dab2c7e4e338831446a616a,0x48763eacd9f0f9d6b611e75e56afa1222243d6ff56684d504102bb6bba95c7f,0x7f0238aad1e3d8e299413748f6d595e5a8bf2f589f58ffbadf88dd3a1013817,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
17,0x50657273657573696f6e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x52756c696e6720456c697465,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x16c15ab793b72b3652d840e045e6b4aa656980b7248d30c1db8def44c11c0da,0x4fdf7a6c6c42e3bea61a2a40461fe9e1ef677d1fe8eb66424ac65ba4be245c1,0x7f0238aad1e3d8e299413748f6d595e5a8bf2f589f58ffbadf88dd3a1013817,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
18,0x4570696375727573616e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x2ff2cff1e1fb1a0edefcf951648e7325ef9ac8cc14bca5047fc084638ac8478,0x4fdf7a6c6c42e3bea61a2a40461fe9e1ef677d1fe8eb66424ac65ba4be245c1,0x7f0238aad1e3d8e299413748f6d595e5a8bf2f589f58ffbadf88dd3a1013817,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
19,0x41726368696d65646573696f6e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x526562656c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x56adc61255c816bf7301c075eba399b7c55e2a06c4d1b7ac13132a535ce50d8,0x421e1a87f167342e0fe868398c1cb4b99b15c2e4f89858e71e8c32fa3d31ba9,0x2e08f34f9c694f617d9825754f74bc36c9dc605ffa0d02b977f09068ccee386,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
20,0x417269737469646573696f6e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x55820f23ca6eff7bae1bf9245c20807da2eaaae7171ffac42fe0b76c1270ff1,0x421e1a87f167342e0fe868398c1cb4b99b15c2e4f89858e71e8c32fa3d31ba9,0x2e08f34f9c694f617d9825754f74bc36c9dc605ffa0d02b977f09068ccee386,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
21,0x417269737461726368757369646573,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x5144c32224ff7e863de93bb4567f3eaf216ad38b829616b5daf014ebe0af8e6,0x64464583aaa07cb995d1eada13abd800c956fe29505322520745c3a5e3c30d9,0x2e08f34f9c694f617d9825754f74bc36c9dc605ffa0d02b977f09068ccee386,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
22,0x50746f6c656d61696f73696f6e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x526562656c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0xd7a39f9898a1b32cdba2f7632161653ef52dfbd783e32eb46d03360b62b97,0x64464583aaa07cb995d1eada13abd800c956fe29505322520745c3a5e3c30d9,0x2e08f34f9c694f617d9825754f74bc36c9dc605ffa0d02b977f09068ccee386,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
